randomNumber,entryNumber,toolEntry,Society,Reference,toolName,Type,simpleComp,PresLikelihood,Scale,materialDescribed,materialMetal,materialPlant,materialStone,materialBone,materialAntler,materialOther,materialOther_detail,learn,Process,Mode,Gender,childAge_coded,manufacturerAge,manufacturerSex,manufacturerKin,Continent,Subsistence,Paragraph,Image,Image_Caption,permalink,Latitude,Longitude,Date,Pages,Play,Multiple.Uses
1015,1367,1,Western Apache,"Roberts, Helen Heffron, 1888-


Basketry of the San Carlos Apache",BASKET,Container,NA,NA,AdultVersion,NO,NA,NA,NA,NA,NA,NA,NA,YES,VERTICAL,UNKNOWN,Girls,NA,ADULT,FEMALE,GENERIC,North America,Primarily Hunter-gatherers,"Each generation of daughters learns from the mothers and grandmothers how to make the much-used basket utensils. After having mastered the technique sufficiently to justify more particular undertakings, the young women can begin to manufacture for the tourist trade, if they choose, but it is the old women (sometimes they are blind) whose work is most prized. Undoubtedly, of late years the demand has largely created the supply of specimens showing superior workmanship as well as striking designs, a host of which are ultra-modern and utterly lacking in symbolism. These are human and animal figures, which always seem to attract immediate attention. They are in no sense historical and although a story often accompanies them, it seldom bears any intimate relation to the true mythology or life of the tribe. Such attempts at realism have crept in quite recently and their interpretations are usually “manufactured.” Restricted in outline as such figures are by the medium of expression employed, really good results are rarely achieved.",NA,NA,https://ehrafworldcultures.yale.edu/sres/3fc2a231-b35d-471a-b505-83583585f7b6,33.86,-110.12,1929,5580,Use,Single
1023,2231,1,Ojibwa,"Kohl, Johann Georg, 1808-1878


Kitchi-Gami: wanderings round Lake Superior",PIN,Game,Simple,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"In many of their games they exercise the skill of their fingers and senses, which is so necessary for them in hunting, fishing, &c. Thus, the children here play a very clever little game with pins. They beg as many as they can from their mothers and sisters, and then lie down on the grass. The game is played in this way: after a piece of grass has been smoothed down, one lad throws on it a pin; another then gives his pin a fillip with his finger, and tries to make his pin cross the other; if he succeed, he gains the pin. Delicate fingers and wrists are required for this, and many of the lads aim as surely with the pins as with bow and arrow.",NA,NA,https://ehrafworldcultures.yale.edu/sres/637b12db-de65-4e56-8907-e28a2f33b059,47.33,-91.86,1860,10482,Play,Single
1024,2490,1,Ona,"Gusinde, Martin, 1886-1969


The Fireland Indians: Vol. 1. The Selk'nam, on the life and thought of a hunting people of the Great Island of Tierra del Fuego",SLING,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,NA,NA,NA,NA,South America,Hunter-gatherers,"Every boy is no less inseparably attached to his sling . This resembles the one for a man exactly, in spite of its smaller dimensions; it is also handled in the same way. Among the most popular targets are counted the small birds, as well as fungi on tree trunks and a small puddle. The rascals engage in all kinds of pranks with their slings, unobserved if possible, precisely as among us. For example, they will make a stone suddenly strike in front of the feet of a girl; a dog is shot at, in order to confuse it; a heavy stone is made to fly against a hut, in order to knock for a friend. If their activity [Page 569] 400 cont. becomes too disorderly, because small children might be endangered by their careless stone-throwing, a few scolding words from an adult will chase the imps away.",NA,NA,https://ehrafworldcultures.yale.edu/sres/a6cfe374-8bb7-4519-8240-c6348368e771,-54,-68.5,1931,2456,Play,Multiple
1025,1482,1,Manus,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",CANOE,Transport,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,NA,NA,NA,NA,Oceania,Hunter-gatherers,"Of the techniques of handwork small boys learn but little. They know how to whiten the sides of their canoes with seaweed juices; they know how to tie a rattan strip so that it will remain fast; they have a rudimentary knowledge of whittling, but none of carving. They can fasten on a simple outrigger float if it breaks off. They know how to scorch the sides of their canoes with torches of coconut palm leaves, and how to make rude bamboo torches for expeditions after dark. They know nothing about carpentry except what they remember from their early childhood association with their fathers.",NA,NA,https://ehrafworldcultures.yale.edu/sres/0d4c6c6b-e60d-448b-86a1-09e882d32c04,-2.17,147.17,1930,2626,Use,Single
1030,892,1,Blackfoot,"Hungry Wolf, Adolf, 1944-


The Blood People: a division of the Blackfoot Confederacy : an illustrated interpretation of the old ways",SADDLE,Transport,Comp,Low,Mini,YES,NO,NO,NO,NO,NO,YES,"BLUE JEANS, SHEEP'S WOOL",NA,NA,NA,Unknown,EARLY CHILDHOOD,ADULT,FEMALE,PARENT,North America,Hunter-gatherers,"When I was a little bit old-personlike [when first active as a child], my father taught me to ride. This was during the number four winter of my life. There was still a lot of horseback riding then and a lot of travois for transportation. Very few had slim-wheelers [buggies]. I was tied on a horse, and the horse was tied to a picket. Sometimes I used to go to sleep on the horse. My mother made a pad saddle out of blue jeans and stuffed with big-head fur [sheep’s wool]. There were stirrups at that time; I used to see them, they were made of wood. But my stirrups were rawhide thongs, which fit my young feet better.",NA,NA,https://ehrafworldcultures.yale.edu/sres/12859094-94a6-4cdc-ba1c-096bca99d7e6,49.34,-111.21,1977,6278,Use,Single
1030,892,2,Blackfoot,"Hungry Wolf, Adolf, 1944-


The Blood People: a division of the Blackfoot Confederacy : an illustrated interpretation of the old ways",STIRRUPS,Transport,Simple,Low,Mini,YES,NO,NO,NO,NO,NO,YES,SKINS,NA,NA,NA,Unknown,EARLY CHILDHOOD,NA,NA,NA,North America,Hunter-gatherers,"When I was a little bit old-personlike [when first active as a child], my father taught me to ride. This was during the number four winter of my life. There was still a lot of horseback riding then and a lot of travois for transportation. Very few had slim-wheelers [buggies]. I was tied on a horse, and the horse was tied to a picket. Sometimes I used to go to sleep on the horse. My mother made a pad saddle out of blue jeans and stuffed with big-head fur [sheep’s wool]. There were stirrups at that time; I used to see them, they were made of wood. But my stirrups were rawhide thongs, which fit my young feet better.",NA,NA,https://ehrafworldcultures.yale.edu/sres/12859094-94a6-4cdc-ba1c-096bca99d7e6,49.34,-111.21,1977,6278,Use,Single
1034,2302,1,Blackfoot,"Mountain Horse, Mike, 1888-1964


My people, the Bloods",TOP (WITH WHIP),Game,Comp,High,ChildOnly,YES,NO,NO,YES,NO,NO,NO,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"Another game played by young Bloods was a battle of stone tops. This game was played on ice between two boys. Egg or cone-shaped rocks served as tops. The bark of a white bush similar to the snowdrop, and common on our river bottoms, was first peeled off and the yellow inside coating taken out. The latter comes out in long strands, four to five feet long. This was braided and a whip made out of it. After adjusting a two-foot handle, the two rivals spun their tops and whipped them until they hummed. These were then made to collide with considerable force and the top which remained spinning the longest was declared the winner. As a boy I often played others far into the starry night clashing tops, and we derived much innocent fun out of this game.",NA,NA,https://ehrafworldcultures.yale.edu/sres/79a6fbef-29a0-4038-acb6-80f4fe4cedd0,49.34,-111.21,1979,6278,Play,Single
104,1011,1,Eastern Apache,"Opler, Morris Edward, 1907-1996


An Apache life-way: the economic, social, and religious institutions of the Chiricahua Indians",BOW AND ARROW,Weapons,Comp,Low,Mini,YES,NO,NO,NO,NO,NO,YES,"""ANY FEATHERS—BLUEBIRD FEATHERS, FLICKER FEATHERS, FEATHERS FROM ANY KIND OF BIRD THE SIZE OF A ROBIN OR LARGER""",NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"As soon as the boy is provided with a bow and arrows he spends a great deal of time gaining accuracy in handling them. Arrow games are an effective means to this end, and the boy has a variety of them from which to choose. “You are there all day long. Sometimes you don't care to eat, you are so interested.” The arrows used in play “are just common ones made with any feathers—bluebird feathers, flicker feathers, feathers from any kind of bird the size of a robin or larger. Some of them are well made; you can shoot big animals with them if you have a good bow. They put three feathers on the shaft.”",NA,NA,https://ehrafworldcultures.yale.edu/sres/726bf615-ba09-4225-ada3-b21515443cd3,32,-109.5,1941,925,Play,Single
1053,2306,1,Crow,"Lowie, Robert Harry, 1883-1957


The Crow Indians",DOLL,Human figure,NA,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Girls,NA,CHILD,FEMALE,NA,North America,Hunter-gatherers,"The girls had little shields to play with,—just as their mothers were custodians of the real ones. A girl would make a male doll, show it to a boy visitor, and tell him, “That's you.” Then he would bring her some food. Or, she might take the doll to her friend's lodge, and throw it in, saying, “There's your son!” The boy's mother then gave her beads or other presents. Several girls might pay a joint visit to a boy, announcing, “We are coming to you.” His family then invited them in and gave them something to eat, whereupon the visitors lay down with the little boy as though they were his wives. When food was plentiful in camp, such a bevy might enter a boy's lodge, one by one, dance and sing, and each receive some pemmican from his mother. Sometimes a group of boys paid a joint visit to the household of one of their own number, singing victory songs at the entrance. They, too, would then receive pemmican from the inmates.",NA,NA,https://ehrafworldcultures.yale.edu/sres/52817e0a-1f95-4460-93e6-a4d56b1650d1,45.37,-107.87,1935,1935,Play,Multiple
1069,2379,1,Western Apache,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",DOLL,Human figure,NA,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Girls,NA,NA,NA,NA,North America,Primarily Hunter-gatherers,"One day, just a few yards from the side of the house, Inez, Katherine, and Dora were playing together. Each one built herself a small wickiup, just big enough to get into. The frames were made of old sticks and covered with a blanket. This is typical of play wickiups, and no child was seen trying to cover a wickiup with grass and other brush, as is done in building real dwellings. Inside two of the play dwellings the little girls lit tiny fires made from chips that they had picked up about the yard. Within the third a little girl was pretending to grind meal on a metate. This was a flat stone on which she was grinding dirt. They were in and out of their play camps for almost an hour or more, carrying their dolls about, putting them down, or taking them inside.",NA,NA,https://ehrafworldcultures.yale.edu/sres/a3a7a0e0-f153-4d7f-9ee8-917c0a604dda,33.86,-110.12,1942,5580,Play,Single
1080,2283,1,Yuki,"Gifford, Edward Winslow, 1887-1959


The Coast Yuki",DART,PhysGame,Simple,Low,ChildOnly,YES,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"Throwing a dart at a rolling hazel wood hoop was a children's game only. That it was ancient is attested by mention of it in myths. Shinny (kutkumiliyak) was the principal outdoor game for adults. The early Coast Yuki form was with a straight stick, while the more recent form played with a curved stick was said to have been adopted from interior tribes, as was also the custom of women playing the game as well as men. As a shinny ball, a tanbark oak or pepperwood gall nut was used. In the old game with a straight, tanbark oak wood, five-foot stick, the ball was tossed in the air and struck to start the game, while in the later form with a curved stick it was first struck on the ground. There was no wrestling in the old game and it was discountenanced in the new game, because it often led to fighting.",NA,NA,https://ehrafworldcultures.yale.edu/sres/f7fad1f2-f3d3-4a09-973e-617c9a9433e8,39.64,-123.74,1965,657,Play,Single
1085,2410,1,Kiribati,"Koch, Gerd


The material culture of Kiribati",BOAT,Transport,Simple,Low,Mini,YES,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,Boys,NA,NA,NA,NA,Oceania,Primarily Hunter-gatherers,"If a strong wind is blowing, many boys will make up small toy ‘wind-sailers’ (kabaoa, Fig. 119) from a piece of the pinnule of a coconut frond and let them loose on the water in the lagoon or on the eastern reef, to find out which is the winning craft. They then recover the ‘windsailers’ and let them sail off again. With this game, too, the winner receives no prize.",2410.1,"Toy 'wind-sailer' (kabaoa). Tetua, Nonouti. Part of the pinnule of a coconut frond. 22.7cm long.",https://ehrafworldcultures.yale.edu/sres/bfc04b2c-16f4-4f89-8624-6a69f7870470,3.38,172.99,1986,1228,Play,Multiple
1089,2281,1,Yuki,"Foster, George McClelland, 1913-


A summary of Yuki culture",BOW AND ARROW,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"Boys followed masculine pursuits. Toy bows and arrows were fashioned, with which equally harmless “deer” and “bear” were hunted. One boy would start a boulder rolling downhill, shouting, “Deer, deer,” and his companions below would release their missiles as it passed by them. Rotten stumps served as bears, and were attacked with probably more enthusiasm than the genuine article. Oak galls thrown into streams made excellent salmon, and from the banks were speared with toy gigs.",NA,NA,https://ehrafworldcultures.yale.edu/sres/a0f6b5e0-40d4-4fbe-a436-4029da2d4282,39.64,-123.74,1944,657,Play,Single
1089,2281,2,Yuki,"Foster, George McClelland, 1913-


A summary of Yuki culture",GIG,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"Boys followed masculine pursuits. Toy bows and arrows were fashioned, with which equally harmless “deer” and “bear” were hunted. One boy would start a boulder rolling downhill, shouting, “Deer, deer,” and his companions below would release their missiles as it passed by them. Rotten stumps served as bears, and were attacked with probably more enthusiasm than the genuine article. Oak galls thrown into streams made excellent salmon, and from the banks were speared with toy gigs.",NA,NA,https://ehrafworldcultures.yale.edu/sres/a0f6b5e0-40d4-4fbe-a436-4029da2d4282,39.64,-123.74,1944,657,Play,Single
1114,966,1,Klamath,"Pearsall, Marion, 1923-


Klamath childhood and education",PADDLE,Transport,Simple,Low,Mini,YES,NO,YES,NO,NO,NO,NO,NA,YES,UNKNOWN,TEACHING-INSTRUCTION,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"Some children start to use paddles by themselves, too. Adults see them trying to do so and tell them how to kneel in the bottom and dip the paddle in and out of the water without splashing. Light cedar paddles are used, and small ones are made for children. Similarly, shorter poles are often made for the children.",NA,NA,https://ehrafworldcultures.yale.edu/sres/2beac535-36df-4bcc-ac17-942f54f981f5,42,-121.31,1950,1488,Play,Single
112,2216,1,Kaska,"Honigmann, John Joseph


Culture and ethos of Kaska society",ROLLING TOY,PhysGame,Comp,High,ChildOnly,YES,YES,YES,NO,NO,NO,NO,NA,NA,NA,NA,Boys,NA,NA,NA,NA,North America,Hunter-gatherers,"From five to six boys often make crude rolling toys out of the cover of a vacuum tin. The disc is nailed to a willow or poplar stick and the nail bent where it emerges from the other side (Plate 10, B). The child runs pushing the wheel before him. Youngsters try to cut thin brush with axes, explaining that they are cutting trail. In winter children, ranging in age from five to late adolescence, enjoy sliding down cutbanks to the frozen river on toboggans or small sleighs made by older uncles or parents. Only the bitterest cold interrupts this sport. By seven or eight, boys make their own slingshots, to use in shooting at trees and birds. Boys of twelve are sometimes seen testing their strength picking up heavy weights and trying to lift the nailed boards of a table top. This is also the age for target practicing with .22 caliber rifles, although hunting for small game has already begun.",2216.1,A five year old boy making a rolling toy with the cover of a vacuum tin.,https://ehrafworldcultures.yale.edu/sres/4b9d5e57-a4f0-4be0-aad4-6d3e62accab7,60,-131,1949,762,Play,Multiple
112,2216,2,Kaska,"Honigmann, John Joseph


Culture and ethos of Kaska society",SLEIGH,Transport,NA,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,MIDDLE CHILDHOOD,ADULT,BOTH,PARENT,North America,Hunter-gatherers,"From five to six boys often make crude rolling toys out of the cover of a vacuum tin. The disc is nailed to a willow or poplar stick and the nail bent where it emerges from the other side (Plate 10, B). The child runs pushing the wheel before him. Youngsters try to cut thin brush with axes, explaining that they are cutting trail. In winter children, ranging in age from five to late adolescence, enjoy sliding down cutbanks to the frozen river on toboggans or small sleighs made by older uncles or parents. Only the bitterest cold interrupts this sport. By seven or eight, boys make their own slingshots, to use in shooting at trees and birds. Boys of twelve are sometimes seen testing their strength picking up heavy weights and trying to lift the nailed boards of a table top. This is also the age for target practicing with .22 caliber rifles, although hunting for small game has already begun.",NA,NA,https://ehrafworldcultures.yale.edu/sres/4b9d5e57-a4f0-4be0-aad4-6d3e62accab7,60,-131,1949,762,Play,Single
112,2216,3,Kaska,"Honigmann, John Joseph


Culture and ethos of Kaska society",SLING (SLINGSHOT),Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,MIDDLE CHILDHOOD,NA,NA,NA,North America,Hunter-gatherers,"From five to six boys often make crude rolling toys out of the cover of a vacuum tin. The disc is nailed to a willow or poplar stick and the nail bent where it emerges from the other side (Plate 10, B). The child runs pushing the wheel before him. Youngsters try to cut thin brush with axes, explaining that they are cutting trail. In winter children, ranging in age from five to late adolescence, enjoy sliding down cutbanks to the frozen river on toboggans or small sleighs made by older uncles or parents. Only the bitterest cold interrupts this sport. By seven or eight, boys make their own slingshots, to use in shooting at trees and birds. Boys of twelve are sometimes seen testing their strength picking up heavy weights and trying to lift the nailed boards of a table top. This is also the age for target practicing with .22 caliber rifles, although hunting for small game has already begun.",NA,NA,https://ehrafworldcultures.yale.edu/sres/4b9d5e57-a4f0-4be0-aad4-6d3e62accab7,60,-131,1949,762,Play,Multiple
112,2216,4,Kaska,"Honigmann, John Joseph


Culture and ethos of Kaska society",WEIGHT (HEAVY),PhysGame,NA,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,MIDDLE CHILDHOOD,NA,NA,NA,North America,Hunter-gatherers,"From five to six boys often make crude rolling toys out of the cover of a vacuum tin. The disc is nailed to a willow or poplar stick and the nail bent where it emerges from the other side (Plate 10, B). The child runs pushing the wheel before him. Youngsters try to cut thin brush with axes, explaining that they are cutting trail. In winter children, ranging in age from five to late adolescence, enjoy sliding down cutbanks to the frozen river on toboggans or small sleighs made by older uncles or parents. Only the bitterest cold interrupts this sport. By seven or eight, boys make their own slingshots, to use in shooting at trees and birds. Boys of twelve are sometimes seen testing their strength picking up heavy weights and trying to lift the nailed boards of a table top. This is also the age for target practicing with .22 caliber rifles, although hunting for small game has already begun.",NA,NA,https://ehrafworldcultures.yale.edu/sres/4b9d5e57-a4f0-4be0-aad4-6d3e62accab7,60,-131,1949,762,Play,Single
112,2216,6,Kaska,"Honigmann, John Joseph


Culture and ethos of Kaska society",AXE,Instrument,NA,NA,AdultVersion,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys,YOUNG,NA,NA,NA,North America,Hunter-gatherers,"From five to six boys often make crude rolling toys out of the cover of a vacuum tin. The disc is nailed to a willow or poplar stick and the nail bent where it emerges from the other side (Plate 10, B). The child runs pushing the wheel before him. Youngsters try to cut thin brush with axes, explaining that they are cutting trail. In winter children, ranging in age from five to late adolescence, enjoy sliding down cutbanks to the frozen river on toboggans or small sleighs made by older uncles or parents. Only the bitterest cold interrupts this sport. By seven or eight, boys make their own slingshots, to use in shooting at trees and birds. Boys of twelve are sometimes seen testing their strength picking up heavy weights and trying to lift the nailed boards of a table top. This is also the age for target practicing with .22 caliber rifles, although hunting for small game has already begun.",NA,NA,https://ehrafworldcultures.yale.edu/sres/4b9d5e57-a4f0-4be0-aad4-6d3e62accab7,60,-131,1949,762,Use,Single
