randomNumber,entryNumber,toolEntry,toolName,Type,simpleComp,Scale,Gender,Age,Society,Subsistence,Reference,social.solitary,Social,risk,Play_vs_use,Play,Multiple.Uses,Toycon,Continent,Latitude,Longitude
13,2133,1,TOP,Game,NA,ChildOnly,Boys,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik material culture",NA,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1315,1710,1,BOW AND ARROW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Bororo,Hunter-gatherers,"Colbacchini, Antonio, 1881-1960


The eastern Bororo Orarimogodogue of the eastern plateau of Mato Grosso",general plural,NA,risky,Play,Play,Single,Not Toycon,South America,-16.6,-55.2
1333,1440,1,STICK,Transport,Simple,Mini,Girls,Unspecified,Tiwi,Hunter-gatherers,"Goodale, Jane C. (Jane Carter), 1926-


Tiwi wives: a study of the women of Melville Island, North Australia",social,Social,risky,Use,Use,Single,Not Toycon,Oceania,-11.38,131
1340,707,1,BASKET,Container,NA,AdultVersion,Girls,ADOLESCENCE,Tlingit,Hunter-gatherers,"De Laguna, Frederica, 1906-


The story of a Tlingit community: a problem in the relationship between archaeological, ethnological and historical methods",solitary,Solitary,safe,play and use,Play,Multiple,Not Toycon,North America,57,-133.59
1345,104,1,ARROW,Weapons,Comp,Mini,Boys,Unspecified,San,Hunter-gatherers,"Lebzelter, Viktor, 1889-1936


Native cultures in southwest and south Africa: Vol. 2",general plural,NA,risky,Use,Use,Single,Not Toycon,Africa,-19.83,20.58
1347,2451,1,RATTLE,Music,Comp,ChildOnly,Both/Unspecified,Unspecified,Warao,Hunter-gatherers,"Suárez, Maria Matilde


The Warao: natives of the Orinoco Delta",NA,NA,safe,Play,Play,Single,Not Toycon,South America,9.08,-62
1347,2451,2,RATTLE,Music,Comp,ChildOnly,Both/Unspecified,Unspecified,Warao,Hunter-gatherers,"Suárez, Maria Matilde


The Warao: natives of the Orinoco Delta",NA,NA,safe,Play,Play,Single,Not Toycon,South America,9.08,-62
1349,2197,1,DOLL,Human figure,Comp,ChildOnly,Girls,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",solitary,Solitary,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1353,2132,1,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik material culture",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1371,2193,1,WHISTLE,Music,Simple,ChildOnly,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",solitary,Solitary,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1372,1589,1,FLOAT,PhysGame,Comp,ChildOnly,Both/Unspecified,Unspecified,Maori,Primarily Hunter-gatherers,"Buck, Peter Henry, 1880-1951


The coming of the Maori",social,Social,safe,Play,Play,Single,Not Toycon,Oceania,-35.33,174.17
1374,2366,1,STILTS,PhysGame,NA,ChildOnly,Boys,Unspecified,Northern Paiute,Hunter-gatherers,"Fowler, Catherine S.


Northern Paiute",general plural,NA,risky,Play,Play,Single,Not Toycon,North America,40.08,-119.54
1374,2366,2,WHISTLE,Music,Simple,ChildOnly,Boys,Unspecified,Northern Paiute,Hunter-gatherers,"Fowler, Catherine S.


Northern Paiute",general plural,NA,safe,toycon,Use,Single,Toycon,North America,40.08,-119.54
1374,2366,3,BULL ROARER,Music,Comp,ChildOnly,Boys,Unspecified,Northern Paiute,Hunter-gatherers,"Fowler, Catherine S.


Northern Paiute",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,40.08,-119.54
1374,2366,4,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Northern Paiute,Hunter-gatherers,"Fowler, Catherine S.


Northern Paiute",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,40.08,-119.54
1374,2366,5,BASKET,Container,NA,Mini,Girls,Unspecified,Northern Paiute,Hunter-gatherers,"Fowler, Catherine S.


Northern Paiute",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,40.08,-119.54
1375,2113,1,CANOE,Transport,Comp,Mini,Boys,Unspecified,Chipewyans,Hunter-gatherers,"VanStone, James W.


The Snowdrift Chipewyan",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,58.36,-110.83
138,1309,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,MIDDLE CHILDHOOD,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,risky,Use,Use,Single,Not Toycon,North America,33.86,-110.12
138,1309,2,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",solitary,Solitary,risky,Use,Use,Single,Not Toycon,North America,33.86,-110.12
1388,577,4,ARROW,Weapons,Comp,Mini,Boys,Unspecified,Delaware,Primarily Hunter-gatherers,"Goddard, Ives, 1941-


Delaware",general plural,NA,risky,Use,Use,Single,Not Toycon,North America,38.5,-73.5
1392,1800,3,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",social,Social,risky,Play,Play,Single,Not Toycon,South America,-11.19,-50.35
1395,2211,1,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Innu,Hunter-gatherers,"McGee, John T.


Cultural stability and change among the Montagnais Indians of the Lake Melville region of Labrador",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,53,-58
1395,2211,2,SCISSORS,Instrument,NA,AdultVersion,Girls,Unspecified,Innu,Hunter-gatherers,"McGee, John T.


Cultural stability and change among the Montagnais Indians of the Lake Melville region of Labrador",solitary,Solitary,risky,play,Play,Single,Not Toycon,North America,53,-58
1403,2293,1,HOBBYHORSE,Animal Figure,Comp,ChildOnly,Both/Unspecified,Unspecified,Blackfoot,Hunter-gatherers,"Ewers, John Canfield


The horse in Blackfoot Indian culture, with comparative material from other western tribes",general singular,NA,safe,Play,Play,Single,Not Toycon,North America,49.34,-111.21
1412,1660,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Trumai,Primarily Hunter-gatherers,"Murphy, Robert Francis, 1924-1990


The Trumaí Indians of central Brazil",social,Social,risky,play and use,Play,Multiple,Not Toycon,South America,-11.83,-53.67
1416,2289,1,LODGE,Shelter,NA,Mini,Girls,MIDDLE CHILDHOOD,Blackfoot,Hunter-gatherers,"Ewers, John Canfield


The horse in Blackfoot Indian culture, with comparative material from other western tribes",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,49.34,-111.21
1416,2289,3,HOBBYHORSE,Animal Figure,Simple,ChildOnly,Girls,MIDDLE CHILDHOOD,Blackfoot,Hunter-gatherers,"Ewers, John Canfield


The horse in Blackfoot Indian culture, with comparative material from other western tribes",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,49.34,-111.21
